                                                  
                                                                                                                                                                                                                                                                
 Result for angle 165
      R        E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   143233.34   -694.1647958   -167.7633833   -527.0540316
    2.6   116138.96   -694.2871240   -167.7630802   -527.0532119
    2.7    91316.01   -694.3992343   -167.7628222   -527.0524785
    2.8    70144.20   -694.4948642   -167.7626075   -527.0518572
    2.9    52792.11   -694.5732491   -167.7624361   -527.0513516
    3.0    39081.41   -694.6351841   -167.7623059   -527.0509462
    3.1    28545.81   -694.6827628   -167.7622102   -527.0506169
    3.2    20612.79   -694.7185598   -167.7621380   -527.0503406
    3.3    14729.77   -694.7450654   -167.7620778   -527.0501014
    3.4    10418.82   -694.7644423   -167.7620231   -527.0498908
    3.5     7291.32   -694.7784568   -167.7619723   -527.0497062
    3.6     5042.63   -694.7884971   -167.7619259   -527.0495471
    3.7     3439.72   -694.7956252   -167.7618843   -527.0494135
    3.8     2307.04   -694.8006400   -167.7618476   -527.0493041
    3.9     1513.96   -694.8041339   -167.7618156   -527.0492164
    4.0      964.21   -694.8065419   -167.7617880   -527.0491472
    4.1      587.61   -694.8081801   -167.7617645   -527.0490929
    4.2      333.21   -694.8092764   -167.7617444   -527.0490503
    4.3      164.29   -694.8099940   -167.7617267   -527.0490159
    4.4       54.71   -694.8104487   -167.7617106   -527.0489874
    4.5      -14.10   -694.8107225   -167.7616953   -527.0489629
    4.6      -55.21   -694.8108733   -167.7616807   -527.0489410
    4.7      -77.75   -694.8109420   -167.7616666   -527.0489211
    4.8      -88.16   -694.8109577   -167.7616531   -527.0489029
    4.9      -90.80   -694.8109404   -167.7616403   -527.0488864
    5.0      -88.66   -694.8109041   -167.7616283   -527.0488718
    5.1      -83.75   -694.8108579   -167.7616174   -527.0488589
    5.2      -77.41   -694.8108080   -167.7616075   -527.0488478
    5.3      -70.50   -694.8107582   -167.7615989   -527.0488381
    5.4      -63.56   -694.8107108   -167.7615915   -527.0488298
    5.5      -56.91   -694.8106671   -167.7615853   -527.0488225
    5.6      -50.73   -694.8106276   -167.7615802   -527.0488162
    5.7      -45.09   -694.8105924   -167.7615763   -527.0488107
    5.8      -40.03   -694.8105615   -167.7615731   -527.0488060
    5.9      -35.52   -694.8105345   -167.7615707   -527.0488020
    6.0      -31.54   -694.8105110   -167.7615689   -527.0487985
    6.1      -28.02   -694.8104904   -167.7615674   -527.0487954
    6.2      -24.94   -694.8104724   -167.7615661   -527.0487927
    6.3      -22.23   -694.8104564   -167.7615649   -527.0487902
    6.4      -19.85   -694.8104421   -167.7615637   -527.0487880
    6.5      -17.76   -694.8104292   -167.7615625   -527.0487858
    6.6      -15.91   -694.8104175   -167.7615611   -527.0487838
    6.7      -14.29   -694.8104068   -167.7615597   -527.0487819
    6.8      -12.86   -694.8103970   -167.7615582   -527.0487801
    6.9      -11.59   -694.8103879   -167.7615567   -527.0487785
    7.0      -10.46   -694.8103797   -167.7615551   -527.0487769
    7.1       -9.47   -694.8103720   -167.7615536   -527.0487753
    7.2       -8.58   -694.8103650   -167.7615520   -527.0487739
    7.3       -7.79   -694.8103585   -167.7615505   -527.0487726
    7.4       -7.08   -694.8103525   -167.7615490   -527.0487713
    7.5       -6.45   -694.8103470   -167.7615476   -527.0487700
    7.6       -5.89   -694.8103420   -167.7615462   -527.0487689
    7.7       -5.39   -694.8103373   -167.7615449   -527.0487678
    7.8       -4.93   -694.8103330   -167.7615437   -527.0487668
    7.9       -4.52   -694.8103290   -167.7615426   -527.0487658
    8.0       -4.15   -694.8103254   -167.7615415   -527.0487649
    8.1       -3.81   -694.8103220   -167.7615405   -527.0487641
    8.2       -3.51   -694.8103190   -167.7615396   -527.0487634
    8.3       -3.23   -694.8103162   -167.7615388   -527.0487627
    8.4       -2.98   -694.8103137   -167.7615380   -527.0487621
    8.5       -2.76   -694.8103115   -167.7615373   -527.0487616
    8.6       -2.55   -694.8103094   -167.7615367   -527.0487611
    8.7       -2.36   -694.8103076   -167.7615361   -527.0487607
    8.8       -2.19   -694.8103059   -167.7615356   -527.0487604
    8.9       -2.03   -694.8103044   -167.7615351   -527.0487600
    9.0       -1.89   -694.8103031   -167.7615347   -527.0487598
    9.1       -1.76   -694.8103019   -167.7615344   -527.0487595
    9.2       -1.64   -694.8103008   -167.7615340   -527.0487593
    9.3       -1.53   -694.8102999   -167.7615338   -527.0487592
    9.4       -1.42   -694.8102991   -167.7615335   -527.0487590
    9.5       -1.33   -694.8102983   -167.7615333   -527.0487589
    9.6       -1.24   -694.8102977   -167.7615332   -527.0487588
    9.7       -1.16   -694.8102971   -167.7615330   -527.0487587
    9.8       -1.09   -694.8102965   -167.7615329   -527.0487587
    9.9       -1.02   -694.8102961   -167.7615328   -527.0487586
   10.0       -0.96   -694.8102956   -167.7615327   -527.0487586
                                                  
