                                                  
                                                                                                                                                                                                                                                                
 Result for angle 45
      R       E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   28577.71   -694.6826109   -167.7623073   -527.0505132
    2.6   20621.17   -694.7184443   -167.7621991   -527.0502022
    2.7   14730.84   -694.7449324   -167.7621042   -527.0499469
    2.8   10415.30   -694.7643066   -167.7620222   -527.0497401
    2.9    7282.97   -694.7783430   -167.7619529   -527.0495738
    3.0    5029.86   -694.7884182   -167.7618954   -527.0494405
    3.1    3423.18   -694.7955838   -167.7618475   -527.0493335
    3.2    2288.07   -694.8006286   -167.7618067   -527.0492472
    3.3    1494.00   -694.8041409   -167.7617709   -527.0491771
    3.4     944.63   -694.8065547   -167.7617389   -527.0491198
    3.5     569.17   -694.8081891   -167.7617097   -527.0490727
    3.6     316.58   -694.8092742   -167.7616830   -527.0490337
    3.7     149.79   -694.8099771   -167.7616587   -527.0490009
    3.8      42.46   -694.8104167   -167.7616373   -527.0489728
    3.9     -24.15   -694.8106777   -167.7616193   -527.0489484
    4.0     -63.27   -694.8108196   -167.7616046   -527.0489267
    4.1     -84.10   -694.8108838   -167.7615932   -527.0489074
    4.2     -93.04   -694.8108986   -167.7615845   -527.0488902
    4.3     -94.48   -694.8108834   -167.7615779   -527.0488750
    4.4     -91.42   -694.8108509   -167.7615728   -527.0488616
    4.5     -85.80   -694.8108095   -167.7615687   -527.0488498
    4.6     -78.96   -694.8107647   -167.7615652   -527.0488397
    4.7     -71.69   -694.8107198   -167.7615621   -527.0488310
    4.8     -64.50   -694.8106768   -167.7615593   -527.0488236
    4.9     -57.69   -694.8106369   -167.7615568   -527.0488173
    5.0     -51.39   -694.8106004   -167.7615544   -527.0488119
    5.1     -45.67   -694.8105676   -167.7615523   -527.0488073
    5.2     -40.55   -694.8105383   -167.7615504   -527.0488032
    5.3     -35.99   -694.8105122   -167.7615487   -527.0487995
    5.4     -31.95   -694.8104890   -167.7615472   -527.0487962
    5.5     -28.39   -694.8104684   -167.7615459   -527.0487932
    5.6     -25.25   -694.8104502   -167.7615448   -527.0487903
    5.7     -22.49   -694.8104339   -167.7615438   -527.0487877
    5.8     -20.07   -694.8104196   -167.7615428   -527.0487853
    5.9     -17.94   -694.8104068   -167.7615420   -527.0487831
    6.0     -16.06   -694.8103954   -167.7615412   -527.0487811
    6.1     -14.40   -694.8103853   -167.7615405   -527.0487792
    6.2     -12.94   -694.8103762   -167.7615398   -527.0487775
    6.3     -11.65   -694.8103681   -167.7615391   -527.0487759
    6.4     -10.51   -694.8103609   -167.7615385   -527.0487744
    6.5      -9.50   -694.8103543   -167.7615380   -527.0487730
    6.6      -8.60   -694.8103484   -167.7615375   -527.0487717
    6.7      -7.80   -694.8103430   -167.7615370   -527.0487705
    6.8      -7.10   -694.8103382   -167.7615365   -527.0487694
    6.9      -6.45   -694.8103338   -167.7615361   -527.0487683
    7.0      -5.89   -694.8103298   -167.7615357   -527.0487673
    7.1      -5.37   -694.8103262   -167.7615354   -527.0487663
    7.2      -4.90   -694.8103228   -167.7615351   -527.0487654
    7.3      -4.49   -694.8103199   -167.7615348   -527.0487646
    7.4      -4.12   -694.8103172   -167.7615345   -527.0487639
    7.5      -3.78   -694.8103147   -167.7615343   -527.0487632
    7.6      -3.48   -694.8103125   -167.7615340   -527.0487626
    7.7      -3.20   -694.8103105   -167.7615338   -527.0487621
    7.8      -2.95   -694.8103087   -167.7615337   -527.0487616
    7.9      -2.73   -694.8103070   -167.7615335   -527.0487611
    8.0      -2.52   -694.8103056   -167.7615333   -527.0487608
    8.1      -2.33   -694.8103042   -167.7615332   -527.0487604
    8.2      -2.16   -694.8103031   -167.7615331   -527.0487601
    8.3      -2.00   -694.8103020   -167.7615330   -527.0487599
    8.4      -1.86   -694.8103010   -167.7615329   -527.0487596
    8.5      -1.73   -694.8103001   -167.7615328   -527.0487594
    8.6      -1.61   -694.8102994   -167.7615328   -527.0487593
    8.7      -1.50   -694.8102986   -167.7615327   -527.0487591
    8.8      -1.40   -694.8102980   -167.7615326   -527.0487590
    8.9      -1.31   -694.8102974   -167.7615326   -527.0487589
    9.0      -1.22   -694.8102969   -167.7615326   -527.0487588
    9.1      -1.14   -694.8102965   -167.7615325   -527.0487587
    9.2      -1.07   -694.8102960   -167.7615325   -527.0487587
    9.3      -1.00   -694.8102957   -167.7615325   -527.0487586
    9.4      -0.94   -694.8102953   -167.7615325   -527.0487586
    9.5      -0.88   -694.8102950   -167.7615324   -527.0487585
    9.6      -0.83   -694.8102947   -167.7615324   -527.0487585
    9.7      -0.78   -694.8102944   -167.7615324   -527.0487585
    9.8      -0.74   -694.8102942   -167.7615324   -527.0487584
    9.9      -0.69   -694.8102940   -167.7615324   -527.0487584
   10.0      -0.65   -694.8102938   -167.7615324   -527.0487584
                                                  
