                                                  
                                                                                                                                                                                                                                                                
 Result for angle 90
      R      E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   3894.59   -694.7936239   -167.7618404   -527.0495285
    2.6   2567.26   -694.7995091   -167.7617938   -527.0494125
    2.7   1640.24   -694.8035965   -167.7617537   -527.0493163
    2.8   1001.39   -694.8063936   -167.7617195   -527.0492368
    2.9    568.01   -694.8082738   -167.7616907   -527.0491711
    3.0    279.65   -694.8095097   -167.7616673   -527.0491167
    3.1     92.52   -694.8102984   -167.7616485   -527.0490714
    3.2    -24.82   -694.8107806   -167.7616338   -527.0490337
    3.3    -94.73   -694.8110558   -167.7616224   -527.0490018
    3.4   -132.94   -694.8111936   -167.7616132   -527.0489747
    3.5   -150.38   -694.8112422   -167.7616056   -527.0489514
    3.6   -154.58   -694.8112344   -167.7615989   -527.0489311
    3.7   -150.67   -694.8111926   -167.7615927   -527.0489133
    3.8   -142.08   -694.8111317   -167.7615869   -527.0488975
    3.9   -131.09   -694.8110618   -167.7615812   -527.0488833
    4.0   -119.13   -694.8109892   -167.7615758   -527.0488705
    4.1   -107.17   -694.8109179   -167.7615707   -527.0488589
    4.2    -95.70   -694.8108503   -167.7615659   -527.0488484
    4.3    -85.05   -694.8107877   -167.7615614   -527.0488388
    4.4    -75.33   -694.8107308   -167.7615575   -527.0488301
    4.5    -66.59   -694.8106797   -167.7615540   -527.0488223
    4.6    -58.80   -694.8106343   -167.7615509   -527.0488155
    4.7    -51.91   -694.8105944   -167.7615483   -527.0488095
    4.8    -45.85   -694.8105594   -167.7615461   -527.0488044
    4.9    -40.52   -694.8105290   -167.7615443   -527.0488001
    5.0    -35.84   -694.8105025   -167.7615428   -527.0487964
    5.1    -31.76   -694.8104795   -167.7615416   -527.0487932
    5.2    -28.18   -694.8104595   -167.7615407   -527.0487904
    5.3    -25.04   -694.8104420   -167.7615399   -527.0487880
    5.4    -22.30   -694.8104268   -167.7615394   -527.0487858
    5.5    -19.90   -694.8104133   -167.7615389   -527.0487837
    5.6    -17.79   -694.8104014   -167.7615385   -527.0487819
    5.7    -15.93   -694.8103909   -167.7615382   -527.0487801
    5.8    -14.30   -694.8103816   -167.7615379   -527.0487785
    5.9    -12.86   -694.8103733   -167.7615376   -527.0487771
    6.0    -11.59   -694.8103658   -167.7615373   -527.0487757
    6.1    -10.46   -694.8103592   -167.7615371   -527.0487744
    6.2     -9.46   -694.8103532   -167.7615368   -527.0487733
    6.3     -8.58   -694.8103478   -167.7615365   -527.0487722
    6.4     -7.78   -694.8103429   -167.7615362   -527.0487712
    6.5     -7.08   -694.8103385   -167.7615360   -527.0487702
    6.6     -6.45   -694.8103344   -167.7615357   -527.0487693
    6.7     -5.88   -694.8103307   -167.7615355   -527.0487684
    6.8     -5.37   -694.8103273   -167.7615352   -527.0487676
    6.9     -4.91   -694.8103241   -167.7615350   -527.0487668
    7.0     -4.50   -694.8103213   -167.7615347   -527.0487660
    7.1     -4.13   -694.8103186   -167.7615345   -527.0487653
    7.2     -3.79   -694.8103162   -167.7615343   -527.0487646
    7.3     -3.49   -694.8103140   -167.7615341   -527.0487639
    7.4     -3.21   -694.8103119   -167.7615339   -527.0487633
    7.5     -2.96   -694.8103100   -167.7615338   -527.0487628
    7.6     -2.73   -694.8103083   -167.7615336   -527.0487622
    7.7     -2.53   -694.8103068   -167.7615335   -527.0487618
    7.8     -2.34   -694.8103053   -167.7615333   -527.0487613
    7.9     -2.16   -694.8103040   -167.7615332   -527.0487610
    8.0     -2.01   -694.8103029   -167.7615331   -527.0487606
    8.1     -1.86   -694.8103018   -167.7615330   -527.0487603
    8.2     -1.73   -694.8103008   -167.7615329   -527.0487600
    8.3     -1.61   -694.8103000   -167.7615328   -527.0487598
    8.4     -1.50   -694.8102992   -167.7615328   -527.0487596
    8.5     -1.40   -694.8102985   -167.7615327   -527.0487594
    8.6     -1.31   -694.8102978   -167.7615327   -527.0487592
    8.7     -1.22   -694.8102973   -167.7615326   -527.0487591
    8.8     -1.14   -694.8102967   -167.7615326   -527.0487590
    8.9     -1.07   -694.8102963   -167.7615325   -527.0487589
    9.0     -1.00   -694.8102959   -167.7615325   -527.0487588
    9.1     -0.94   -694.8102955   -167.7615325   -527.0487587
    9.2     -0.88   -694.8102951   -167.7615325   -527.0487586
    9.3     -0.83   -694.8102948   -167.7615325   -527.0487586
    9.4     -0.78   -694.8102945   -167.7615324   -527.0487586
    9.5     -0.73   -694.8102943   -167.7615324   -527.0487585
    9.6     -0.69   -694.8102940   -167.7615324   -527.0487585
    9.7     -0.65   -694.8102938   -167.7615324   -527.0487585
    9.8     -0.61   -694.8102936   -167.7615324   -527.0487584
    9.9     -0.58   -694.8102935   -167.7615324   -527.0487584
   10.0     -0.55   -694.8102933   -167.7615324   -527.0487584
                                                  
