                                                  
                                                                                                                                                                                                                                                                
 Result for angle 105
      R      E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   3809.47   -694.7941149   -167.7618569   -527.0496152
    2.6   2554.50   -694.7996577   -167.7618114   -527.0494854
    2.7   1659.95   -694.8035878   -167.7617731   -527.0493780
    2.8   1031.26   -694.8063316   -167.7617406   -527.0492898
    2.9    596.37   -694.8082134   -167.7617130   -527.0492177
    3.0    301.38   -694.8094749   -167.7616895   -527.0491586
    3.1    106.16   -694.8102958   -167.7616697   -527.0491098
    3.2    -18.85   -694.8108080   -167.7616530   -527.0490691
    3.3    -95.22   -694.8111071   -167.7616391   -527.0490342
    3.4   -138.28   -694.8112612   -167.7616275   -527.0490036
    3.5   -159.22   -694.8113196   -167.7616176   -527.0489766
    3.6   -165.63   -694.8113160   -167.7616090   -527.0489523
    3.7   -162.91   -694.8112741   -167.7616013   -527.0489305
    3.8   -154.74   -694.8112103   -167.7615942   -527.0489110
    3.9   -143.58   -694.8111355   -167.7615876   -527.0488937
    4.0   -131.10   -694.8110571   -167.7615813   -527.0488784
    4.1   -118.33   -694.8109797   -167.7615755   -527.0488650
    4.2   -105.94   -694.8109060   -167.7615701   -527.0488532
    4.3    -94.30   -694.8108377   -167.7615651   -527.0488429
    4.4    -83.61   -694.8107755   -167.7615606   -527.0488339
    4.5    -73.94   -694.8107196   -167.7615567   -527.0488260
    4.6    -65.29   -694.8106699   -167.7615533   -527.0488192
    4.7    -57.62   -694.8106261   -167.7615503   -527.0488132
    4.8    -50.84   -694.8105876   -167.7615479   -527.0488080
    4.9    -44.89   -694.8105540   -167.7615459   -527.0488035
    5.0    -39.67   -694.8105246   -167.7615443   -527.0487996
    5.1    -35.10   -694.8104990   -167.7615430   -527.0487961
    5.2    -31.10   -694.8104766   -167.7615420   -527.0487930
    5.3    -27.60   -694.8104571   -167.7615411   -527.0487902
    5.4    -24.54   -694.8104399   -167.7615404   -527.0487877
    5.5    -21.85   -694.8104249   -167.7615399   -527.0487854
    5.6    -19.51   -694.8104115   -167.7615393   -527.0487833
    5.7    -17.44   -694.8103998   -167.7615389   -527.0487814
    5.8    -15.63   -694.8103893   -167.7615385   -527.0487796
    5.9    -14.04   -694.8103800   -167.7615381   -527.0487780
    6.0    -12.63   -694.8103717   -167.7615377   -527.0487765
    6.1    -11.39   -694.8103643   -167.7615373   -527.0487751
    6.2    -10.30   -694.8103577   -167.7615369   -527.0487739
    6.3     -9.32   -694.8103518   -167.7615366   -527.0487727
    6.4     -8.45   -694.8103464   -167.7615362   -527.0487716
    6.5     -7.67   -694.8103414   -167.7615359   -527.0487706
    6.6     -6.98   -694.8103370   -167.7615356   -527.0487696
    6.7     -6.36   -694.8103329   -167.7615353   -527.0487687
    6.8     -5.80   -694.8103292   -167.7615350   -527.0487678
    6.9     -5.29   -694.8103258   -167.7615348   -527.0487669
    7.0     -4.84   -694.8103227   -167.7615346   -527.0487661
    7.1     -4.44   -694.8103199   -167.7615343   -527.0487654
    7.2     -4.07   -694.8103173   -167.7615341   -527.0487646
    7.3     -3.74   -694.8103149   -167.7615339   -527.0487640
    7.4     -3.44   -694.8103128   -167.7615338   -527.0487633
    7.5     -3.17   -694.8103108   -167.7615336   -527.0487628
    7.6     -2.92   -694.8103090   -167.7615335   -527.0487622
    7.7     -2.70   -694.8103074   -167.7615333   -527.0487617
    7.8     -2.49   -694.8103059   -167.7615332   -527.0487613
    7.9     -2.31   -694.8103045   -167.7615331   -527.0487609
    8.0     -2.14   -694.8103033   -167.7615330   -527.0487606
    8.1     -1.98   -694.8103022   -167.7615329   -527.0487603
    8.2     -1.84   -694.8103012   -167.7615328   -527.0487600
    8.3     -1.71   -694.8103003   -167.7615328   -527.0487598
    8.4     -1.59   -694.8102995   -167.7615327   -527.0487595
    8.5     -1.48   -694.8102988   -167.7615327   -527.0487594
    8.6     -1.38   -694.8102981   -167.7615326   -527.0487592
    8.7     -1.29   -694.8102975   -167.7615326   -527.0487591
    8.8     -1.21   -694.8102970   -167.7615325   -527.0487590
    8.9     -1.13   -694.8102965   -167.7615325   -527.0487589
    9.0     -1.06   -694.8102961   -167.7615325   -527.0487588
    9.1     -0.99   -694.8102957   -167.7615325   -527.0487587
    9.2     -0.93   -694.8102953   -167.7615325   -527.0487586
    9.3     -0.87   -694.8102950   -167.7615324   -527.0487586
    9.4     -0.82   -694.8102947   -167.7615324   -527.0487585
    9.5     -0.77   -694.8102944   -167.7615324   -527.0487585
    9.6     -0.72   -694.8102942   -167.7615324   -527.0487585
    9.7     -0.68   -694.8102940   -167.7615324   -527.0487585
    9.8     -0.64   -694.8102938   -167.7615324   -527.0487584
    9.9     -0.61   -694.8102936   -167.7615324   -527.0487584
   10.0     -0.57   -694.8102934   -167.7615324   -527.0487584
                                                  
