                                                  
                                                                                                                                                                                                                                                                
 Result for angle 15
      R       E_CP      E_COMPLEX        E_NCO          E_AR
    2.9   29852.47   -694.6770421   -167.7622786   -527.0507814
    3.0   21233.89   -694.7158576   -167.7621858   -527.0504205
    3.1   14859.80   -694.7445107   -167.7621045   -527.0501124
    3.2   10264.00   -694.7651215   -167.7620334   -527.0498543
    3.3    7000.19   -694.7797221   -167.7619732   -527.0496441
    3.4    4709.33   -694.7899439   -167.7619234   -527.0494777
    3.5    3117.58   -694.7970265   -167.7618821   -527.0493491
    3.6    2022.49   -694.8018830   -167.7618471   -527.0492511
    3.7    1277.08   -694.8051739   -167.7618165   -527.0491763
    3.8     775.31   -694.8073747   -167.7617890   -527.0491182
    3.9     442.23   -694.8088206   -167.7617636   -527.0490719
    4.0     224.99   -694.8097486   -167.7617397   -527.0490340
    4.1      86.34   -694.8103244   -167.7617163   -527.0490015
    4.2       0.67   -694.8106637   -167.7616937   -527.0489731
    4.3     -49.78   -694.8108467   -167.7616722   -527.0489476
    4.4     -77.16   -694.8109286   -167.7616524   -527.0489246
    4.5     -89.74   -694.8109475   -167.7616347   -527.0489039
    4.6     -93.09   -694.8109290   -167.7616192   -527.0488856
    4.7     -90.90   -694.8108901   -167.7616062   -527.0488697
    4.8     -85.61   -694.8108418   -167.7615955   -527.0488562
    4.9     -78.79   -694.8107910   -167.7615870   -527.0488450
    5.0     -71.42   -694.8107416   -167.7615805   -527.0488357
    5.1     -64.09   -694.8106957   -167.7615756   -527.0488281
    5.2     -57.15   -694.8106542   -167.7615721   -527.0488218
    5.3     -50.78   -694.8106173   -167.7615694   -527.0488166
    5.4     -44.99   -694.8105846   -167.7615675   -527.0488121
    5.5     -39.85   -694.8105556   -167.7615659   -527.0488081
    5.6     -35.28   -694.8105298   -167.7615645   -527.0488045
    5.7     -31.27   -694.8105067   -167.7615631   -527.0488012
    5.8     -27.74   -694.8104860   -167.7615616   -527.0487980
    5.9     -24.64   -694.8104673   -167.7615600   -527.0487950
    6.0     -21.93   -694.8104505   -167.7615584   -527.0487922
    6.1     -19.55   -694.8104353   -167.7615566   -527.0487896
    6.2     -17.46   -694.8104216   -167.7615549   -527.0487871
    6.3     -15.62   -694.8104092   -167.7615531   -527.0487849
    6.4     -14.01   -694.8103981   -167.7615514   -527.0487828
    6.5     -12.58   -694.8103880   -167.7615498   -527.0487809
    6.6     -11.33   -694.8103789   -167.7615482   -527.0487791
    6.7     -10.22   -694.8103706   -167.7615468   -527.0487773
    6.8      -9.23   -694.8103631   -167.7615454   -527.0487757
    6.9      -8.36   -694.8103563   -167.7615441   -527.0487741
    7.0      -7.58   -694.8103501   -167.7615429   -527.0487726
    7.1      -6.89   -694.8103444   -167.7615419   -527.0487711
    7.2      -6.27   -694.8103392   -167.7615409   -527.0487698
    7.3      -5.71   -694.8103345   -167.7615399   -527.0487685
    7.4      -5.21   -694.8103302   -167.7615391   -527.0487673
    7.5      -4.76   -694.8103263   -167.7615383   -527.0487662
    7.6      -4.36   -694.8103228   -167.7615376   -527.0487653
    7.7      -3.99   -694.8103196   -167.7615370   -527.0487643
    7.8      -3.66   -694.8103167   -167.7615364   -527.0487635
    7.9      -3.37   -694.8103141   -167.7615359   -527.0487628
    8.0      -3.10   -694.8103117   -167.7615354   -527.0487622
    8.1      -2.85   -694.8103096   -167.7615350   -527.0487616
    8.2      -2.63   -694.8103077   -167.7615346   -527.0487611
    8.3      -2.43   -694.8103061   -167.7615343   -527.0487607
    8.4      -2.24   -694.8103046   -167.7615340   -527.0487603
    8.5      -2.07   -694.8103032   -167.7615338   -527.0487600
    8.6      -1.92   -694.8103020   -167.7615335   -527.0487597
    8.7      -1.78   -694.8103010   -167.7615334   -527.0487595
    8.8      -1.65   -694.8103000   -167.7615332   -527.0487593
    8.9      -1.54   -694.8102992   -167.7615330   -527.0487592
    9.0      -1.43   -694.8102985   -167.7615329   -527.0487590
    9.1      -1.33   -694.8102978   -167.7615328   -527.0487589
    9.2      -1.24   -694.8102972   -167.7615327   -527.0487588
    9.3      -1.15   -694.8102967   -167.7615327   -527.0487587
    9.4      -1.08   -694.8102962   -167.7615326   -527.0487586
    9.5      -1.01   -694.8102957   -167.7615326   -527.0487586
    9.6      -0.94   -694.8102954   -167.7615325   -527.0487585
    9.7      -0.88   -694.8102950   -167.7615325   -527.0487585
    9.8      -0.82   -694.8102947   -167.7615325   -527.0487585
    9.9      -0.77   -694.8102944   -167.7615325   -527.0487585
   10.0      -0.72   -694.8102942   -167.7615324   -527.0487584
                                                  
