                                                  
                                                                                                                                                                                                                                                                
 Result for angle 60
      R       E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   10153.79   -694.7655771   -167.7619868   -527.0498543
    2.6    7136.29   -694.7790854   -167.7619242   -527.0496766
    2.7    4938.61   -694.7889001   -167.7618704   -527.0495317
    2.8    3357.40   -694.7959406   -167.7618241   -527.0494139
    2.9    2233.16   -694.8009268   -167.7617837   -527.0493180
    3.0    1443.50   -694.8044107   -167.7617483   -527.0492395
    3.1     896.14   -694.8068088   -167.7617174   -527.0491745
    3.2     522.41   -694.8084306   -167.7616905   -527.0491203
    3.3     271.70   -694.8095041   -167.7616673   -527.0490748
    3.4     107.67   -694.8101928   -167.7616471   -527.0490364
    3.5       3.12   -694.8106184   -167.7616295   -527.0490032
    3.6     -60.39   -694.8108639   -167.7616144   -527.0489744
    3.7     -96.28   -694.8109895   -167.7616018   -527.0489490
    3.8    -113.87   -694.8110369   -167.7615915   -527.0489266
    3.9    -119.73   -694.8110354   -167.7615831   -527.0489068
    4.0    -118.25   -694.8110046   -167.7615765   -527.0488894
    4.1    -112.47   -694.8109577   -167.7615711   -527.0488742
    4.2    -104.35   -694.8109033   -167.7615667   -527.0488611
    4.3     -95.24   -694.8108467   -167.7615630   -527.0488497
    4.4     -85.92   -694.8107912   -167.7615598   -527.0488399
    4.5     -76.93   -694.8107388   -167.7615569   -527.0488314
    4.6     -68.51   -694.8106905   -167.7615542   -527.0488242
    4.7     -60.81   -694.8106466   -167.7615518   -527.0488178
    4.8     -53.86   -694.8106073   -167.7615495   -527.0488123
    4.9     -47.66   -694.8105722   -167.7615475   -527.0488075
    5.0     -42.17   -694.8105411   -167.7615457   -527.0488033
    5.1     -37.32   -694.8105137   -167.7615442   -527.0487995
    5.2     -33.06   -694.8104895   -167.7615428   -527.0487961
    5.3     -29.32   -694.8104682   -167.7615417   -527.0487930
    5.4     -26.04   -694.8104495   -167.7615407   -527.0487902
    5.5     -23.17   -694.8104330   -167.7615399   -527.0487876
    5.6     -20.65   -694.8104185   -167.7615392   -527.0487853
    5.7     -18.44   -694.8104057   -167.7615386   -527.0487831
    5.8     -16.50   -694.8103944   -167.7615381   -527.0487811
    5.9     -14.79   -694.8103843   -167.7615376   -527.0487793
    6.0     -13.28   -694.8103754   -167.7615372   -527.0487777
    6.1     -11.96   -694.8103674   -167.7615368   -527.0487762
    6.2     -10.78   -694.8103603   -167.7615364   -527.0487747
    6.3      -9.74   -694.8103539   -167.7615361   -527.0487734
    6.4      -8.82   -694.8103482   -167.7615358   -527.0487722
    6.5      -8.00   -694.8103430   -167.7615355   -527.0487710
    6.6      -7.27   -694.8103383   -167.7615353   -527.0487699
    6.7      -6.62   -694.8103340   -167.7615350   -527.0487689
    6.8      -6.02   -694.8103301   -167.7615348   -527.0487679
    6.9      -5.50   -694.8103267   -167.7615346   -527.0487670
    7.0      -5.03   -694.8103234   -167.7615344   -527.0487662
    7.1      -4.61   -694.8103205   -167.7615342   -527.0487654
    7.2      -4.22   -694.8103179   -167.7615340   -527.0487646
    7.3      -3.88   -694.8103154   -167.7615338   -527.0487639
    7.4      -3.57   -694.8103132   -167.7615337   -527.0487633
    7.5      -3.28   -694.8103112   -167.7615336   -527.0487627
    7.6      -3.02   -694.8103094   -167.7615334   -527.0487622
    7.7      -2.79   -694.8103077   -167.7615333   -527.0487617
    7.8      -2.58   -694.8103062   -167.7615332   -527.0487613
    7.9      -2.38   -694.8103049   -167.7615331   -527.0487609
    8.0      -2.21   -694.8103036   -167.7615330   -527.0487606
    8.1      -2.04   -694.8103025   -167.7615329   -527.0487602
    8.2      -1.90   -694.8103015   -167.7615329   -527.0487600
    8.3      -1.76   -694.8103006   -167.7615328   -527.0487597
    8.4      -1.64   -694.8102997   -167.7615327   -527.0487595
    8.5      -1.53   -694.8102990   -167.7615327   -527.0487594
    8.6      -1.42   -694.8102983   -167.7615326   -527.0487592
    8.7      -1.33   -694.8102977   -167.7615326   -527.0487591
    8.8      -1.24   -694.8102972   -167.7615326   -527.0487590
    8.9      -1.16   -694.8102967   -167.7615325   -527.0487589
    9.0      -1.08   -694.8102962   -167.7615325   -527.0487588
    9.1      -1.02   -694.8102958   -167.7615325   -527.0487587
    9.2      -0.95   -694.8102955   -167.7615325   -527.0487586
    9.3      -0.89   -694.8102951   -167.7615325   -527.0487586
    9.4      -0.84   -694.8102948   -167.7615324   -527.0487585
    9.5      -0.79   -694.8102945   -167.7615324   -527.0487585
    9.6      -0.74   -694.8102943   -167.7615324   -527.0487585
    9.7      -0.70   -694.8102941   -167.7615324   -527.0487585
    9.8      -0.66   -694.8102939   -167.7615324   -527.0487584
    9.9      -0.62   -694.8102937   -167.7615324   -527.0487584
   10.0      -0.59   -694.8102935   -167.7615324   -527.0487584
                                                  
