                                                  
                                                                                                                                                                                                                                                                
# Result for angle 90
#      R      E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   3153.83   -694.7969666   -167.7618080   -527.0495285
    2.6   2054.46   -694.8018184   -167.7617667   -527.0494125
    2.7   1285.81   -694.8051893   -167.7617316   -527.0493163
    2.8    757.03   -694.8074893   -167.7617018   -527.0492368
    2.9    399.96   -694.8090256   -167.7616769   -527.0491711
    3.0    164.57   -694.8100231   -167.7616563   -527.0491167
    3.1     14.08   -694.8106469   -167.7616396   -527.0490714
    3.2    -78.04   -694.8110155   -167.7616262   -527.0490337
    3.3   -130.60   -694.8112124   -167.7616155   -527.0490018
    3.4   -156.90   -694.8112964   -167.7616068   -527.0489747
    3.5   -166.14   -694.8113080   -167.7615996   -527.0489514
    3.6   -164.79   -694.8112753   -167.7615933   -527.0489311
    3.7   -157.12   -694.8112169   -167.7615877   -527.0489133
    3.8   -145.99   -694.8111451   -167.7615824   -527.0488975
    3.9   -133.32   -694.8110680   -167.7615773   -527.0488833
    4.0   -120.27   -694.8109909   -167.7615724   -527.0488705
    4.1   -107.58   -694.8109167   -167.7615676   -527.0488589
    4.2    -95.67   -694.8108475   -167.7615632   -527.0488484
    4.3    -84.74   -694.8107840   -167.7615591   -527.0488388
    4.4    -74.88   -694.8107267   -167.7615554   -527.0488301
    4.5    -66.07   -694.8106755   -167.7615521   -527.0488223
    4.6    -58.26   -694.8106302   -167.7615493   -527.0488155
    4.7    -51.39   -694.8105905   -167.7615468   -527.0488095
    4.8    -45.34   -694.8105558   -167.7615448   -527.0488044
    4.9    -40.05   -694.8105256   -167.7615431   -527.0488001
    5.0    -35.41   -694.8104994   -167.7615417   -527.0487964
    5.1    -31.36   -694.8104767   -167.7615406   -527.0487932
    5.2    -27.81   -694.8104569   -167.7615398   -527.0487904
    5.3    -24.71   -694.8104397   -167.7615391   -527.0487880
    5.4    -21.99   -694.8104246   -167.7615386   -527.0487858
    5.5    -19.61   -694.8104113   -167.7615382   -527.0487837
    5.6    -17.53   -694.8103995   -167.7615378   -527.0487819
    5.7    -15.70   -694.8103892   -167.7615375   -527.0487801
    5.8    -14.08   -694.8103799   -167.7615372   -527.0487785
    5.9    -12.66   -694.8103717   -167.7615370   -527.0487771
    6.0    -11.41   -694.8103644   -167.7615367   -527.0487757
    6.1    -10.30   -694.8103578   -167.7615364   -527.0487744
    6.2     -9.32   -694.8103519   -167.7615362   -527.0487733
    6.3     -8.44   -694.8103466   -167.7615359   -527.0487722
    6.4     -7.66   -694.8103418   -167.7615357   -527.0487712
    6.5     -6.97   -694.8103374   -167.7615354   -527.0487702
    6.6     -6.35   -694.8103334   -167.7615352   -527.0487693
    6.7     -5.79   -694.8103298   -167.7615350   -527.0487684
    6.8     -5.29   -694.8103265   -167.7615348   -527.0487676
    6.9     -4.84   -694.8103234   -167.7615346   -527.0487668
    7.0     -4.43   -694.8103206   -167.7615344   -527.0487660
    7.1     -4.07   -694.8103180   -167.7615342   -527.0487653
    7.2     -3.73   -694.8103156   -167.7615340   -527.0487646
    7.3     -3.43   -694.8103134   -167.7615338   -527.0487639
    7.4     -3.16   -694.8103114   -167.7615337   -527.0487633
    7.5     -2.92   -694.8103096   -167.7615335   -527.0487628
    7.6     -2.69   -694.8103079   -167.7615334   -527.0487622
    7.7     -2.49   -694.8103064   -167.7615333   -527.0487618
    7.8     -2.30   -694.8103050   -167.7615332   -527.0487613
    7.9     -2.13   -694.8103037   -167.7615331   -527.0487610
    8.0     -1.98   -694.8103026   -167.7615330   -527.0487606
    8.1     -1.84   -694.8103016   -167.7615329   -527.0487603
    8.2     -1.71   -694.8103006   -167.7615328   -527.0487600
    8.3     -1.59   -694.8102998   -167.7615328   -527.0487598
    8.4     -1.48   -694.8102990   -167.7615327   -527.0487596
    8.5     -1.38   -694.8102983   -167.7615327   -527.0487594
    8.6     -1.29   -694.8102977   -167.7615326   -527.0487592
    8.7     -1.20   -694.8102971   -167.7615326   -527.0487591
    8.8     -1.12   -694.8102966   -167.7615325   -527.0487590
    8.9     -1.05   -694.8102962   -167.7615325   -527.0487589
    9.0     -0.99   -694.8102958   -167.7615325   -527.0487588
    9.1     -0.92   -694.8102954   -167.7615325   -527.0487587
    9.2     -0.87   -694.8102951   -167.7615325   -527.0487586
    9.3     -0.82   -694.8102948   -167.7615324   -527.0487586
    9.4     -0.77   -694.8102945   -167.7615324   -527.0487586
    9.5     -0.72   -694.8102942   -167.7615324   -527.0487585
    9.6     -0.68   -694.8102940   -167.7615324   -527.0487585
    9.7     -0.64   -694.8102938   -167.7615324   -527.0487585
    9.8     -0.60   -694.8102936   -167.7615324   -527.0487584
    9.9     -0.57   -694.8102934   -167.7615324   -527.0487584
   10.0     -0.54   -694.8102933   -167.7615324   -527.0487584
                                                  
