                                                  
                                                                                                                                                                                                                                                                
 Result for angle 180
      R       E_CP      E_COMPLEX        E_NCO          E_AR
    3.0   49272.64   -694.6545513   -167.8028862   -527.0761678
    3.5    9089.06   -694.8368087   -167.8026901   -527.0755314
    4.0    1203.92   -694.8723816   -167.8025981   -527.0752690
    4.5      -2.25   -694.8777351   -167.8025582   -527.0751667
    5.0     -97.45   -694.8780865   -167.8025241   -527.0751184
    5.5     -63.16   -694.8778955   -167.8025112   -527.0750965
    6.0     -34.85   -694.8777459   -167.8025050   -527.0750821
    6.5     -19.30   -694.8776582   -167.8024986   -527.0750717
    7.0     -11.15   -694.8776117   -167.8024952   -527.0750657
                                                  
