                                                  
                                                                                                                                                                                                                                                                
 Result for angle 0
      R        E_CP      E_COMPLEX        E_NCO          E_AR
    2.5   140080.85   -694.1785165   -167.7632080   -527.0535638
    2.6   105503.34   -694.3349454   -167.7628587   -527.0527952
    2.7    77306.73   -694.4625299   -167.7626116   -527.0521536
    2.8    55618.09   -694.5606446   -167.7624447   -527.0516146
    2.9    39475.51   -694.6336165   -167.7623308   -527.0511494
    3.0    27711.64   -694.6867174   -167.7622436   -527.0507373
    3.1    19263.68   -694.7247678   -167.7621671   -527.0503724
    3.2    13263.86   -694.7517214   -167.7620977   -527.0500583
    3.3     9041.55   -694.7706393   -167.7620369   -527.0497987
    3.4     6093.95   -694.7838123   -167.7619861   -527.0495923
    3.5     4052.66   -694.7929123   -167.7619442   -527.0494334
    3.6     2650.63   -694.7991453   -167.7619088   -527.0493137
    3.7     1695.88   -694.8033748   -167.7618779   -527.0492239
    3.8     1052.23   -694.8062110   -167.7618497   -527.0491557
    3.9      623.37   -694.8080850   -167.7618228   -527.0491025
    4.0      341.77   -694.8092989   -167.7617963   -527.0490598
    4.1      160.25   -694.8100634   -167.7617696   -527.0490240
    4.2       46.26   -694.8105252   -167.7617427   -527.0489933
    4.3      -22.76   -694.8107858   -167.7617158   -527.0489662
    4.4      -62.15   -694.8109152   -167.7616901   -527.0489419
    4.5      -82.35   -694.8109616   -167.7616662   -527.0489202
    4.6      -90.46   -694.8109579   -167.7616450   -527.0489008
    4.7      -91.07   -694.8109255   -167.7616268   -527.0488838
    4.8      -87.37   -694.8108790   -167.7616118   -527.0488691
    4.9      -81.35   -694.8108272   -167.7616000   -527.0488566
    5.0      -74.30   -694.8107757   -167.7615910   -527.0488461
    5.1      -67.01   -694.8107272   -167.7615846   -527.0488373
    5.2      -59.95   -694.8106832   -167.7615802   -527.0488299
    5.3      -53.35   -694.8106439   -167.7615771   -527.0488237
    5.4      -47.34   -694.8106091   -167.7615750   -527.0488184
    5.5      -41.94   -694.8105782   -167.7615733   -527.0488138
    5.6      -37.15   -694.8105507   -167.7615718   -527.0488096
    5.7      -32.92   -694.8105260   -167.7615703   -527.0488057
    5.8      -29.20   -694.8105038   -167.7615686   -527.0488021
    5.9      -25.94   -694.8104836   -167.7615667   -527.0487988
    6.0      -23.07   -694.8104654   -167.7615646   -527.0487957
    6.1      -20.56   -694.8104489   -167.7615624   -527.0487928
    6.2      -18.35   -694.8104340   -167.7615602   -527.0487901
    6.3      -16.41   -694.8104204   -167.7615580   -527.0487877
    6.4      -14.70   -694.8104082   -167.7615558   -527.0487854
    6.5      -13.20   -694.8103971   -167.7615538   -527.0487832
    6.6      -11.87   -694.8103871   -167.7615518   -527.0487812
    6.7      -10.70   -694.8103780   -167.7615499   -527.0487793
    6.8       -9.67   -694.8103697   -167.7615482   -527.0487774
    6.9       -8.75   -694.8103622   -167.7615466   -527.0487757
    7.0       -7.93   -694.8103554   -167.7615452   -527.0487740
    7.1       -7.20   -694.8103491   -167.7615439   -527.0487725
    7.2       -6.55   -694.8103435   -167.7615426   -527.0487710
    7.3       -5.97   -694.8103383   -167.7615415   -527.0487696
    7.4       -5.45   -694.8103336   -167.7615405   -527.0487683
    7.5       -4.98   -694.8103293   -167.7615396   -527.0487671
    7.6       -4.56   -694.8103255   -167.7615387   -527.0487660
    7.7       -4.18   -694.8103220   -167.7615379   -527.0487650
    7.8       -3.84   -694.8103188   -167.7615372   -527.0487641
    7.9       -3.53   -694.8103160   -167.7615366   -527.0487633
    8.0       -3.25   -694.8103134   -167.7615360   -527.0487626
    8.1       -3.00   -694.8103112   -167.7615355   -527.0487619
    8.2       -2.77   -694.8103091   -167.7615351   -527.0487614
    8.3       -2.56   -694.8103073   -167.7615347   -527.0487609
    8.4       -2.37   -694.8103057   -167.7615343   -527.0487605
    8.5       -2.19   -694.8103042   -167.7615340   -527.0487602
    8.6       -2.04   -694.8103029   -167.7615338   -527.0487599
    8.7       -1.89   -694.8103018   -167.7615335   -527.0487596
    8.8       -1.76   -694.8103008   -167.7615333   -527.0487594
    8.9       -1.64   -694.8102999   -167.7615332   -527.0487592
    9.0       -1.53   -694.8102991   -167.7615330   -527.0487591
    9.1       -1.42   -694.8102984   -167.7615329   -527.0487589
    9.2       -1.33   -694.8102977   -167.7615328   -527.0487588
    9.3       -1.24   -694.8102971   -167.7615327   -527.0487588
    9.4       -1.16   -694.8102966   -167.7615327   -527.0487587
    9.5       -1.09   -694.8102962   -167.7615326   -527.0487586
    9.6       -1.02   -694.8102958   -167.7615326   -527.0487586
    9.7       -0.96   -694.8102954   -167.7615325   -527.0487585
    9.8       -0.90   -694.8102951   -167.7615325   -527.0487585
    9.9       -0.85   -694.8102948   -167.7615325   -527.0487585
   10.0       -0.80   -694.8102945   -167.7615325   -527.0487584
                                                  
