         R          E(Ele)            E(Ex)           E(Ind)          E(Disp)         E(SAPT0)
       4.0 -367.3196821639  1245.2335521448   -74.4586016671  -510.9737661747   292.4815021391
       4.2 -163.9618306385   571.8028413382   -33.4067082775  -349.0801682587    25.3541341636
       4.4  -72.1707629057   261.2559857987   -14.9287278438  -242.1723981858   -68.0159031366
       4.6  -31.2343252196   119.1280640223    -6.7849527708  -170.9142764598   -89.8054904279
       4.8  -13.2880672792    54.3324349950    -3.2064406523  -122.8494496780   -85.0115226145
       5.0   -5.5206946080    24.7791704186    -1.5947050143   -89.8992861280   -72.2355153317
       5.2   -2.1844711324    11.2677389122    -0.8349337339   -66.8882820451   -58.6399479993
       5.4   -0.7798751220     5.0908561393    -0.4583922017   -50.5240833822   -46.6714945665
       5.6   -0.2214954827     2.2832819063    -0.2634605471   -38.6924199954   -36.8940941189
       5.8   -0.0231927585     1.0206265955    -0.1585826741   -30.0089520635   -29.1701009006
       6.0    0.0351814755     0.4583042089    -0.0998381250   -23.5480782453   -23.1544306860
       6.2    0.0472499979     0.2081427802    -0.0654328072   -18.6792247111   -18.4892647401
       6.4    0.0474969635     0.0954629687    -0.0443248570   -14.9659013301   -14.8672662548
       6.6    0.0460547280     0.0435950330    -0.0307675622   -12.1017625413   -12.0428803425
       6.8    0.0449128485     0.0193068455    -0.0216699178    -9.8691031938    -9.8265534177
       7.0    0.0441099974     0.0079777442    -0.0153268721    -8.1113816426    -8.0746207730
