      R          E(Ele)            E(Ex)           E(Ind)          E(Disp)         E(SAPT0)
      4.0 -1117.7403606619  3396.4662037567  -229.2521584516  -832.7258693570  1216.7478152861
      4.2  -528.9864541695  1649.9317990204  -119.0721929785  -567.9559763294   433.9171755431
      4.4  -247.5402008173   794.8109329404   -62.9931259415  -391.6135887966    92.6640173849
      4.6  -113.5719264129   380.0548588967   -34.3435051715  -273.0064471422   -40.8670198300
      4.8   -50.5159344871   180.7899586695   -19.6163598412  -192.6683904537   -82.0107261125
      5.0   -21.5487271897    85.7832950280   -11.8755022391  -137.8918836026   -85.5328180035
      5.2    -8.7182344316    40.6711331286    -7.6264024456  -100.2481240377   -75.9216277864
      5.4    -3.2538970818    19.2618437737    -5.1546970755   -74.0923293580   -63.2390797415
      5.6    -1.0077996918     9.0926118333    -3.6274143113   -55.6535093980   -51.1961115678
      5.8    -0.1248732958     4.2671013879    -2.6322600801   -42.4380580969   -40.9280900850
      6.0     0.1873122930     1.9885626011    -1.9558857105   -32.8062618547   -32.5862726711
      6.2     0.2638508844     0.9215358500    -1.4810767982   -25.6746443799   -25.9703344437
      6.4     0.2491340603     0.4261537213    -1.1392872571   -20.3177600391   -20.7817595147
      6.6     0.2057418072     0.1973882494    -0.8881810960   -16.2414768013   -16.7265278408
      6.8     0.1595321234     0.0917125066    -0.7004735705   -13.1031329032   -13.5523618437
      7.0     0.1199075718     0.0426289198    -0.5580189004   -10.6610218222   -11.0565042310
