 Ang   Rad    Potential
  0. 4.659  -91.66
  2. 4.658  -91.65
  4. 4.656  -91.60
  6. 4.652  -91.52
  8. 4.647  -91.42
 10. 4.641  -91.29
 12. 4.633  -91.14
 14. 4.623  -90.98
 16. 4.613  -90.82
 18. 4.600  -90.66
 20. 4.586  -90.52
 22. 4.571  -90.40
 24. 4.554  -90.30
 26. 4.535  -90.26
 28. 4.515  -90.26
 30. 4.493  -90.34
 32. 4.470  -90.50
 34. 4.444  -90.75
 36. 4.417  -91.12
 38. 4.389  -91.62
 40. 4.358  -92.27
 42. 4.326  -93.10
 44. 4.292  -94.12
 46. 4.257  -95.36
 48. 4.219  -96.85
 50. 4.180  -98.61
 52. 4.140 -100.69
 54. 4.098 -103.10
 56. 4.055 -105.87
 58. 4.010 -109.03
 60. 3.965 -112.59
 62. 3.920 -116.55
 64. 3.874 -120.89
 66. 3.830 -125.57
 68. 3.786 -130.53
 70. 3.745 -135.63
 72. 3.706 -140.74
 74. 3.671 -145.66
 76. 3.640 -150.17
 78. 3.615 -154.03
 80. 3.595 -157.02
 82. 3.581 -158.95
 84. 3.574 -159.68
 86. 3.574 -159.16
 88. 3.580 -157.42
 90. 3.593 -154.59
 92. 3.613 -150.83
 94. 3.638 -146.40
 96. 3.669 -141.53
 98. 3.704 -136.46
100. 3.743 -131.41
102. 3.785 -126.53
104. 3.828 -121.93
106. 3.874 -117.71
108. 3.920 -113.88
110. 3.966 -110.46
112. 4.013 -107.43
114. 4.059 -104.78
116. 4.104 -102.47
118. 4.149 -100.48
120. 4.194  -98.76
122. 4.237  -97.30
124. 4.280  -96.05
126. 4.322  -95.00
128. 4.363  -94.12
130. 4.403  -93.39
132. 4.441  -92.79
134. 4.479  -92.30
136. 4.516  -91.91
138. 4.552  -91.61
140. 4.586  -91.38
142. 4.619  -91.21
144. 4.651  -91.08
146. 4.682  -91.00
148. 4.711  -90.94
150. 4.739  -90.90
152. 4.765  -90.87
154. 4.790  -90.86
156. 4.813  -90.84
158. 4.835  -90.83
160. 4.855  -90.81
162. 4.873  -90.79
164. 4.889  -90.77
166. 4.904  -90.75
168. 4.917  -90.73
170. 4.928  -90.70
172. 4.936  -90.68
174. 4.943  -90.66
176. 4.948  -90.64
178. 4.951  -90.64
180. 4.952  -90.63
