 Ang   Rad    Potential
  0. 4.659  -91.41
  2. 4.658  -91.44
  4. 4.655  -91.52
  6. 4.650  -91.65
  8. 4.643  -91.84
 10. 4.633  -92.09
 12. 4.622  -92.39
 14. 4.609  -92.75
 16. 4.594  -93.17
 18. 4.577  -93.65
 20. 4.558  -94.19
 22. 4.538  -94.78
 24. 4.515  -95.44
 26. 4.491  -96.16
 28. 4.466  -96.94
 30. 4.439  -97.79
 32. 4.410  -98.70
 34. 4.380  -99.66
 36. 4.349 -100.70
 38. 4.317 -101.80
 40. 4.284 -102.97
 42. 4.250 -104.21
 44. 4.215 -105.53
 46. 4.180 -106.94
 48. 4.144 -108.44
 50. 4.107 -110.03
 52. 4.070 -111.74
 54. 4.033 -113.57
 56. 3.997 -115.52
 58. 3.960 -117.62
 60. 3.923 -119.87
 62. 3.887 -122.28
 64. 3.851 -124.86
 66. 3.816 -127.61
 68. 3.782 -130.54
 70. 3.749 -133.64
 72. 3.717 -136.90
 74. 3.687 -140.30
 76. 3.658 -143.82
 78. 3.632 -147.40
 80. 3.608 -151.00
 82. 3.586 -154.56
 84. 3.568 -157.98
 86. 3.552 -161.18
 88. 3.540 -164.08
 90. 3.532 -166.56
 92. 3.528 -168.54
 94. 3.529 -169.94
 96. 3.534 -170.70
 98. 3.543 -170.77
100. 3.557 -170.15
102. 3.576 -168.84
104. 3.600 -166.89
106. 3.627 -164.35
108. 3.660 -161.31
110. 3.696 -157.85
112. 3.736 -154.07
114. 3.779 -150.06
116. 3.825 -145.93
118. 3.874 -141.76
120. 3.925 -137.62
122. 3.977 -133.59
124. 4.031 -129.70
126. 4.085 -126.01
128. 4.139 -122.54
130. 4.193 -119.30
132. 4.246 -116.31
134. 4.299 -113.57
136. 4.350 -111.06
138. 4.400 -108.77
140. 4.449 -106.70
142. 4.495 -104.82
144. 4.540 -103.12
146. 4.583 -101.57
148. 4.623 -100.17
150. 4.662  -98.90
152. 4.698  -97.75
154. 4.732  -96.71
156. 4.764  -95.76
158. 4.794  -94.91
160. 4.821  -94.15
162. 4.845  -93.48
164. 4.868  -92.88
166. 4.887  -92.37
168. 4.904  -91.93
170. 4.919  -91.56
172. 4.931  -91.26
174. 4.940  -91.03
176. 4.947  -90.87
178. 4.951  -90.77
180. 4.952  -90.74
