#  theta    R       E_CP
    0      2.7   77306.73
    0      2.8   55618.09
    0      2.9   39475.51
    0      3.0   27711.64
    0      3.1   19263.68
    0      3.2   13263.86
    0      3.3    9041.55
    0      3.4    6093.95
    0      3.5    4052.66
    0      3.6    2650.63
    0      3.7    1695.88
    0      3.8    1052.23
    0      3.9     623.37
    0      4.0     341.77
    0      4.1     160.25
    0      4.2      46.26
    0      4.3     -22.76
    0      4.4     -62.15
    0      4.5     -82.35
    0      4.6     -90.46
    0      4.7     -91.07
    0      4.8     -87.37
    0      4.9     -81.35
    0      5.0     -74.30
    0      5.1     -67.01
    0      5.2     -59.95
    0      5.3     -53.35
    0      5.4     -47.34
    0      5.5     -41.94
    0      5.6     -37.15
    0      5.7     -32.92
    0      5.8     -29.20
    0      5.9     -25.94
    0      6.0     -23.07
    0      6.1     -20.56
    0      6.2     -18.35
    0      6.3     -16.41
    0      6.4     -14.70
    0      6.5     -13.20
    0      6.6     -11.87
    0      6.7     -10.70
    0      6.8      -9.67
    0      6.9      -8.75
    0      7.0      -7.93
    0      7.1      -7.20
    0      7.2      -6.55
    0      7.3      -5.97
    0      7.4      -5.45
    0      7.5      -4.98
    0      7.6      -4.56
    0      7.7      -4.18
    0      7.8      -3.84
    0      7.9      -3.53
    0      8.0      -3.25
    0      8.1      -3.00
    0      8.2      -2.77
    0      8.3      -2.56
    0      8.4      -2.37
    0      8.5      -2.19
    0      8.6      -2.04
    0      8.7      -1.89
    0      8.8      -1.76
    0      8.9      -1.64
    0      9.0      -1.53
    0      9.1      -1.42
    0      9.2      -1.33
    0      9.3      -1.24
    0      9.4      -1.16
    0      9.5      -1.09
    0      9.6      -1.02
    0      9.7      -0.96
    0      9.8      -0.90
    0      9.9      -0.85
    0     10.0      -0.80

    15     2.7   62175.63
    15     2.8   44742.47
    15     2.9   31788.66
    15     3.0   22341.86
    15     3.1   15545.81
    15     3.2   10708.75
    15     3.3    7297.35
    15     3.4    4911.61
    15     3.5    3256.81
    15     3.6    2119.17
    15     3.7    1344.21
    15     3.8     822.08
    15     3.9     474.82
    15     4.0     247.68
    15     4.1     102.09
    15     4.2      11.56
    15     4.3     -42.28
    15     4.4     -72.09
    15     4.5     -86.31
    15     4.6     -90.78
    15     4.7     -89.37
    15     4.8     -84.62
    15     4.9     -78.16
    15     5.0     -71.03
    15     5.1     -63.87
    15     5.2     -57.03
    15     5.3     -50.71
    15     5.4     -45.02
    15     5.5     -39.88
    15     5.6     -35.35
    15     5.7     -31.33
    15     5.8     -27.81
    15     5.9     -24.72
    15     6.0     -22.00
    15     6.1     -19.62
    15     6.2     -17.53
    15     6.3     -15.71
    15     6.4     -14.08
    15     6.5     -12.66
    15     6.6     -11.39
    15     6.7     -10.28
    15     6.8      -9.29
    15     6.9      -8.41
    15     7.0      -7.63
    15     7.1      -6.93
    15     7.2      -6.31
    15     7.3      -5.75
    15     7.4      -5.25
    15     7.5      -4.81
    15     7.6      -4.40
    15     7.7      -4.04
    15     7.8      -3.71
    15     7.9      -3.41
    15     8.0      -3.15
    15     8.1      -2.90
    15     8.2      -2.68
    15     8.3      -2.48
    15     8.4      -2.29
    15     8.5      -2.13
    15     8.6      -1.97
    15     8.7      -1.84
    15     8.8      -1.71
    15     8.9      -1.59
    15     9.0      -1.48
    15     9.1      -1.38
    15     9.2      -1.29
    15     9.3      -1.21
    15     9.4      -1.13
    15     9.5      -1.06
    15     9.6      -0.99
    15     9.7      -0.93
    15     9.8      -0.88
    15     9.9      -0.82
    15    10.0      -0.78

    30     2.7   34420.08
    30     2.8   24664.23
    30     2.9   17483.80
    30     3.0   12265.37
    30     3.1    8512.46
    30     3.2    5838.20
    30     3.3    3949.88
    30     3.4    2628.57
    30     3.5    1712.29
    30     3.6    1083.62
    30     3.7     657.33
    30     3.8     372.41
    30     3.9     185.28
    30     4.0      65.27
    30     4.1      -9.20
    30     4.2     -53.13
    30     4.3     -76.92
