#  theta    R       E_CP
    0      2.7    77306.73
    0      2.8    55618.09
    0      2.9    39475.51
    0      3.0    27711.64
    0      3.1    19263.68
    0      3.2    13263.86
    0      3.3     9041.55
    0      3.4     6093.95
    0      3.5     4052.66
    0      3.6     2650.63
    0      3.7     1695.88
    0      3.8     1052.23
    0      3.9      623.37
    0      4.0      341.77
    0      4.1      160.25
    0      4.2       46.26
    0      4.3      -22.76
    0      4.4      -62.15
    0      4.5      -82.35
    0      4.6      -90.46
    0      4.7      -91.07
    0      4.8      -87.37
    0      4.9      -81.35
    0      5.0      -74.30
    0      5.1      -67.01
    0      5.2      -59.95
    0      5.3      -53.35
    0      5.4      -47.34
    0      5.5      -41.94
    0      5.6      -37.15
    0      5.7      -32.92
    0      5.8      -29.20
    0      5.9      -25.94
    0      6.0      -23.07
    0      6.1      -20.56
    0      6.2      -18.35
    0      6.3      -16.41
    0      6.4      -14.70
    0      6.5      -13.20
    0      6.6      -11.87
    0      6.7      -10.70
    0      6.8       -9.67
    0      6.9       -8.75
    0      7.0       -7.93
    0      7.1       -7.20
    0      7.2       -6.55
    0      7.3       -5.97
    0      7.4       -5.45
    0      7.5       -4.98
    0      7.6       -4.56
    0      7.7       -4.18
    0      7.8       -3.84
    0      7.9       -3.53
    0      8.0       -3.25
    0      8.1       -3.00
    0      8.2       -2.77
    0      8.3       -2.56
    0      8.4       -2.37
    0      8.5       -2.19
    0      8.6       -2.04
    0      8.7       -1.89
    0      8.8       -1.76
    0      8.9       -1.64
    0      9.0       -1.53
    0      9.1       -1.42
    0      9.2       -1.33
    0      9.3       -1.24
    0      9.4       -1.16
    0      9.5       -1.09
    0      9.6       -1.02
    0      9.7       -0.96
    0      9.8       -0.90
    0      9.9       -0.85
    0     10.0       -0.80

    15     2.7    51392.38
    15     2.8    40883.72
    15     2.9    29852.47
    15     3.0    21233.89
    15     3.1    14859.80
    15     3.2    10264.00
    15     3.3     7000.19
    15     3.4     4709.33
    15     3.5     3117.58
    15     3.6     2022.49
    15     3.7     1277.08
    15     3.8      775.31
    15     3.9      442.23
    15     4.0      224.99
    15     4.1       86.34
    15     4.2        0.67
    15     4.3      -49.78
    15     4.4      -77.16
    15     4.5      -89.74
    15     4.6      -93.09
    15     4.7      -90.90
    15     4.8      -85.61
    15     4.9      -78.79
    15     5.0      -71.42
    15     5.1      -64.09
    15     5.2      -57.15
    15     5.3      -50.78
    15     5.4      -44.99
    15     5.5      -39.85
    15     5.6      -35.28
    15     5.7      -31.27
    15     5.8      -27.74
    15     5.9      -24.64
    15     6.0      -21.93
    15     6.1      -19.55
    15     6.2      -17.46
    15     6.3      -15.62
    15     6.4      -14.01
    15     6.5      -12.58
    15     6.6      -11.33
    15     6.7      -10.22
    15     6.8       -9.23
    15     6.9       -8.36
    15     7.0       -7.58
    15     7.1       -6.89
    15     7.2       -6.27
    15     7.3       -5.71
    15     7.4       -5.21
    15     7.5       -4.76
    15     7.6       -4.36
    15     7.7       -3.99
    15     7.8       -3.66
    15     7.9       -3.37
    15     8.0       -3.10
    15     8.1       -2.85
    15     8.2       -2.63
    15     8.3       -2.43
    15     8.4       -2.24
    15     8.5       -2.07
    15     8.6       -1.92
    15     8.7       -1.78
    15     8.8       -1.65
    15     8.9       -1.54
    15     9.0       -1.43
    15     9.1       -1.33
    15     9.2       -1.24
    15     9.3       -1.15
    15     9.4       -1.08
    15     9.5       -1.01
    15     9.6       -0.94
    15     9.7       -0.88
    15     9.8       -0.82
    15     9.9       -0.77
    15    10.0       -0.72

    30     2.7    28777.33
    30     2.8    21160.47
    30     2.9    15215.96
    30     3.0    10751.93
    30     3.1     7480.23
    30     3.2     5124.60
    30     3.3     3451.99
    30     3.4     2278.99
    30     3.5     1466.13
    30     3.6      910.22
    30     3.7      535.14
    30     3.8      286.40
    30     3.9      124.88
    30     4.0       22.97
    30     4.1      -38.71
    30     4.2      -73.63
    30     4.3      -91.08
